       Steps;     Time/fs;        O;        H;    Empty;      H2s;   O2(3S);  OH(2Pi);      HO2; H2O(1A`);H2O(3A``);       O3;       H3;       H4; H2O2(1A);       O4;      H3O;      HO3;      H2t;   O2(1D); H2O2(3A);    HO(4);
        84819;     4240.95;        0;       48;        0;      100;       98;        0;        2;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        84934;     4246.70;        0;       49;        0;      100;       99;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        86106;     4305.30;        0;       48;        0;      100;       98;        0;        2;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        86617;     4330.85;        0;       49;        0;      100;       99;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        91065;     4553.25;        0;       49;        0;       98;       99;        0;        1;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;
        93090;     4654.50;        0;       49;        0;      100;       99;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        96055;     4802.75;        0;       47;        0;      101;       99;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        96776;     4838.80;        0;       49;        0;      100;       99;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        97857;     4892.85;        0;       49;        0;       98;       99;        0;        1;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;
        99246;     4962.30;        0;       47;        0;       98;       99;        0;        1;        0;        0;        0;        0;        1;        0;        0;        0;        0;        1;        0;        0;        0;
        99913;     4995.65;        0;       47;        0;      100;       99;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;        0;        1;        0;        0;        0;
